"","d20071228","d20080131","d20080229","d20080331","d20080430","d20080530","d20080630","d20080731","d20080829","d20080926","d20081031","d20081128","d20081231","d20090123","d20090227","d20090331","d20090430","d20090527","d20090630","d20090731","d20090831","d20090930","d20091030","d20091130","d20091231","d20100129","d20100226","d20100331","d20100430","d20100531","d20100630","d20100730","d20100831","d20100930","d20101029","d20101130","d20101231","d20110131","d20110228","d20110331","d20110429","d20110531","d20110630","d20110729","d20110831","d20110930","d20111031","d20111130","d20111230","d20120131","d20120229","d20120330","d20120427","d20120531","d20120629","d20120731","d20120831","d20120928","d20121031","d20121130","d20121231","d20130131","d20130228","d20130329","d20130426","d20130531","d20130628","d20130731","d20130830","d20130930","d20131031","d20131129","d20131231","d20140130","d20140228","d20140331","d20140430","d20140530","d20140630","d20140731","d20140829","d20140930","d20141031","d20141128","d20141231","d20150130","d20150227","d20150331","d20150430","d20150529","d20150630","d20150731","d20150831","d20150930","d20151030","d20151130","d20151231","d20160129","d20160229","d20160331","d20160429","d20160531","d20160630","d20160729","d20160831","d20160930","d20161031","d20161130","d20161230","d20170126","d20170228","d20170331","d20170428","d20170531","d20170630","d20170731","d20170831","d20170929","d20171031","d20171130","d20171229","d20180131"
"300340.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.2857,1.2857,1.2857,1.2857,1.2857,1.2857,1.5,1.5,1.75,1.75,1.6,1.4,1.4,1.4,1.4,1.2857,1.1333,1.1176,1.1667,1.1579,1.1579
"300341.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.5,1.5,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"300342.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1.5,1.5,1.5,1.5,2,2,2,1.6667,1.3333,1.4,1.4,1.25,1.25,1.25,1.25,1.25,1.1429,1.1429,1,1,1,1.5,1.5,1.6,1.6667,1.6667,1.7,1.7,1.625,1.5455,1.5455,1.25,1.2857,1.2857,1.2857,1.4286,1.4286,1.375,1.4286,1.25,1.25,1.25,1.2,1.2,1.2,1.1429,1.1429,1.25,1.3333,1.3333,1.4286,1.2857,1.3,1.2222,1.1111,1.1111,1.1,1.1818,1.1,1.25,1.25,1.25,1.3333
"300343.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1.5,1.5,1.5,1.5,1.5,1.6667,1.6667,1.5,1.5,1.5,1.6667,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,NA,NA,NA,1.5,1.5,1.5,1.5
"300344.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.6667,1.6667,1.5,1.5,1.5,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300345.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6667,1.5,1.625,1.6,1.6,1.7,1.7,1.7,1.8333,1.6667,1.5714,1.5714,1.5,1.5,1.75,1.75,1.5,1.5,1.5,1.5,1.5,1,NA,NA,NA,NA,NA,2,2,2,2,1.75,1.3333,1.3333,1.1667,1.1667,1,1,1.25,1.25,1.25,1.4,1.6667,1.6667,1.5,1.6667,1.75,1.5,1.6,1.5714,1.3333,1.2,1.2,1.4,1.25,1.3333,1.3333,1.3333,1.3333,NA,NA,NA,NA,NA,NA,NA
"300346.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1.75,1.75,1.6,1.6,1.5,1.3333,1.3333,1.3333,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,NA,2,1.6667,1.6,1.6,1.6,1.6,1.6667,1.6667,1.5,1.75,1.75,2,2,1.6667,1.6667,1,1,1.5,1.5,1.5,1.5,2,2,2,2,2,2
"300347.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.8571,1.8571,1.875,1.875,1.875,1.7778,1.9,1.9,1.9091,1.9091,1.9091,2,1.8889,1.8889,1.8889,1.875,1.8571,1.625,1.7778,1.75,1.75,1.75,1.7143,1.7143,1.7,1.7,1.6667,1.6,1.6,1.5,1.5,1.5,1.5,1.5556,1.5556,1.5556,1.5,1.5,1.375,1.25,1.6,1.625,1.7,1.5455,1.4545,1.5385,1.4667,1.4615,1.2857,1.4286,1.3571,1.3846,1.3636,1.4286,1.4,1.5,1.5,1.3333,1.4,1.45,1.5,1.4545,1.4348,1.4545
"300348.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.75,1.75,1.75,1.75,1.75,1.75,1.8,1.8,1.8,2,2,2.75,2.75,2.75,2.75,2.6667,2.6667,NA,NA,1,1,1.25,1.2,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1,1,1,1,1.2,1.1667,1.1667,1.75,1.75,1.75,1.6667,1.6667,1.6667,1.5,1.25,1.25,1.5,1.5,1.5,1.6667,1.6667,1.6,2,1.75,1.5714,1.5714,1.5,1.5,1.7143,1.7143,1.7143,1.8333,1.8333,1.8333
"300349.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.2,1.1667,1.1667,1.2857,1.2857,1.375,1.6,1.5714,1.3,1.3,1.3,1.4545,1.4545,1.4545,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.4286,1.4286,1.1667,1.1667,1.1667,1.1667,1.1667,1.25,1.2857,1.2857,1.2857,1.2857,1.5714,1.5,1.5,1.5,1.5,1.5,1.6667,1.6667,2,2,1.8,1.6667,1.6667,1.75,1.8571,1.8571,1.625,1.8,1.8,1.6,1.5,1.5,1.5,1.625,1.625,1.625,1.8,1.8,1.2,1.0833
"300350.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3333,2.3333,2.3333,2.3333,2.3333,2.3333,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1.6667,1.6667,1.5,1.6667,1.75,1.8,1.8333,1.8571,1.8333,1.8333,1.8333,1.75,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.75,1.75,1.75,1.75,1.75
"300351.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1.4,1.4,1.6,1.2,1.1667,1.2857,1.2857,1.2857,1.1667,1.1667,1,1.1667,1.1429,1.1429,1.25,1.2,1.2727,1.3636,1.2727,1.2727,1.3333,1.3846,1.3333,1.3333,1.3636,1.3333,1.4167,1.4444,1.4,1.4444,1.4444,1.5,1.6667,1.7143,1.75,2,2.1,1.8333,1.8333,1.7143,1.6154,1.6154,1.7857,1.7692,1.8462,1.8333,1.8333,1.75,1.7,1.7,1.8,1.6667,1.6667,1.75,1.6923,1.6923,1.8,1.8,1.8333,1.8333
"300352.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.2857,1.3,1.3,1.3,1.3333,1.3636,1.25,1.25,1.25,1.1667,1.4286,1.4286,1.5,1.6,1.5,1.5,1.5,1.5556,1.5556,1.625,1.625,1.6667,1.6667,1.5556,1.625,1.625,1.625,1.5,1.5,1.4,1,1,1,1,1.25,1.25,1.5,1.5,1.4286,1.4286,1.4286,1.7143,1.6667,1.6667,1.6667,1.5714,1.5,1.5,1.5,1.5556,1.5556,1.5556,1.6,1.6,1.75,1.75,1.75,1.75,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667
"300353.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,2,2,2,2,2,2,1.8,1.25,1.1429,1.1429,1.2857,1.375,1.375,1.4286,1.5,1.5714,1.5,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,2,1.6667,1.6667,1.25,1.3333,1.2,1.2,1.2,1.6,1.75,1.6667,1.6667,1.3333,1.3333,1,1.3333,1.3333,1.5,1.5,1.4,1.5,1.5,1.8333,1.8333,1.8333,1.8,1.8,1.5714,1.5,1.5,1.5,1.4444,1.4444,1.4444,1.4444,1.4,1.4,1.4
"300354.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,2,1.5,1.5,1.5,1.5,1.5,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300355.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.2,2.2,2,2,2,2,2,2,1.3333,1.75,1.75,1.8,1.8,1.8,1.8,1.8,1.8,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.6667,1.6667,1.75,2,2,2,2,2,2,2,1.6667,1.6667,1.6667,1.3333,1.3333,1.3333,1.3333,1.3333,1.5,1.2,1.2222,1.2222,1.2222,1.2,1.1667,1.1667,1.25,1.25,1.25,1.2222
"300356.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3333,1.2,1.2,1.25,1.25,1.25,1.2,1.2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1
"300357.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1.75,1.75,1.8,1.75,1.8,1.8,1.75,1.6,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.6667,1.6667,1.6667,1.6,1.5714,1.625,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,NA,1,1.6667,1.75,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.2
"300358.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1.75,1.75,1.75,1.75,1.75,1.4,1.4,1.6,1.5,1.5,1.5,1.5,1.75,1.75,1.5,1.3333,1.5,1.5,1.5714,1.5,1.5,1.5714,1.5714,1.5714,1.3333,1.4286,1.4286,1.4286,1.4286,1.4286,1.4286,1.25,1.25,1.25,1.1667,1.1667,1.1429,1.3333,1.3333,1.3333
"300359.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1.75,1.5,1.4286,1.4286,1.6667,1.6667,1.6667,1.6667,1.6667,1.5833,1.5833,1.4545,1.5,1.5,1.5,1.5,1.7143,1.8571,1.8,1.8333,1.8333,1.8333,1.7143,1.3333,1.1667,1,1,1,1.4,1.4545,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,1.3333,1.3333,1.3333,1.3333,1.3333,1.5,1.5,1.5,1.5,1.5
"300360.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1.6667,1.2,1.1667,1.4545,1.3333,1.3077,1.3077,1.2667,1.25,1.2,1.3077,1.3077,1.3077,1.3077,1.3077,1.3077,1,1,1,1,1.3333,1.3333,1.5,1.5,1.5,1.5
"300362.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,3,3,3,3,3,NA,NA,2,1.5,1.5,1.5,1.5,1.6,1.3333,1.5,1.5,1.5,1.5,NA,NA,NA,2,1.8,1.7143,1.7143,1.7143,1.625,1.5556,1.3333,1.2727,1.1667,1.1538,1.1538,1.1429,1.1667,1.1667,1.1667,1.1667,1.1667,1.1667
"300363.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.6,1.5,1.4286,1.4286,1.6,1.6364,1.5455,1.5455,1.5455,1.7143,1.625,1.5714,1.5,1.5,1.5,1.5,1.6667,1.75,1.75,1.75,1.75,1.75,1.75,1.6667,1.6667,1.6667,1.7143,1.7143,1.75,1.75,1.75,1.8333,1.8333,1.8571,1.8333,1.8333,1.8333,1.8333,2,2,2.2,2.2,2.2,2.2,2.2,2.3333
"300364.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1.3333,1.3333,1.3333,1.3333,1.5714,1.5714,1.5714,1.5714,1.8,1.8,2.25,2.125,1.875,1.6364,1.6364,1.5714,1.5333,1.5333,1.5333,1.5455,1.6429,1.6429,1.6429,1.6429,1.75,1.625,1.6364,1.6364,1.6364,1.6364
"300365.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1.5,2,2,2,2,1.8,1.8,1.8333,1.8333,1.8333,1.8,1.75,1.8,1.8,1.8,1.625,1.625,1.5556,1.5,1.5556,1.5556,1.5556,1.3333,1.2727,1.2727,1.2727,1.3,1.3846,1.5455,1.5333,1.5333,1.5333,1.5
"300366.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1.6667,1.6667,1.6667,1.6667,1.5,1.25,1.25,1.25,1.4286,1.25,1.3333,1.3,1.3636,1.3636,1.3636,1.3333,1.4,1.5,1.4444,1.375,1.375,1.375,1.4286,1.4286,1.5,1.5714
"300367.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.25,1.4,1.5,1.5,1.5,1.6,1.6667,1.6,1.25,1.2,1.1667,1.1429,1,1.25,1.3,1.3,1.3,1.3,1.2667,1.2941,1.3333,1.3333,1.3684,1.3684,1.3636,1.36,1.32,1.3333,1.3478,1.3636,1.3529,1.3333,1.4286,1.4286,1.3846,1.4375,1.4444,1.4211,1.4286,1.4091,1.4091,1.2778
"300368.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA
"300369.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.3333,1.5,1.5,1.4,1.5714,1.5,1.3333,1.4615,1.5,1.4667,1.4667,1.4667,1.4167,1.3,1.3636,1.3,1.3333,1.4,1.5,1.7,1.6,1.4545,1.4545,1.4444,1.3333,1.3636,1.3333,1.3077,1.2308,1.3529,1.3529,1.3529,1.3333,1.3333,1.375,1.375,1.375,1.4167,1.4545,1.5,1.6,1.5833,1.5833,1.8333,1.8333,1.8333,1.8333
"300370.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6667,1.2,1.2857,1.2857,1.4286,1.4286,1.4286,1.4286,1.4,1.5,1.4,1.4,1.4,1.25,1.25,1.4,1.4,1.3333,1.2857,1.375,1.375,1.375,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,NA,NA
"300371.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,1.3333,NA,NA,NA,NA,NA,2,2,1.6667,1.6667,1.6667,1.6667,1.5,1.3333,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300373.SZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1.5,1.5,1.6667,1.6667,1.6667,1.6667,1.6667,1.6667,2,2,1.6667,1.5,1.5,1.6,1.25,1.4,1.5,1.75,1.75,1.6667,1.6667,2,1.6667,1.5,1.5,1.4,1.3333,1.1429,1.1429,1.125,1.2,1.1818,1.1111,1.2,1.2,1.25,1.2857,1.375,1.375,1.2857,1.2857,1.25,1.1818,1.1818,1,1,1,1
